network,nodes,edges,avg_degree,clustering,avg_shortest_path,peak_infected_avg,peak_infected_std,final_recovered_avg,final_recovered_std,avg_steps
Watts-Strogatz (100 nodes),100,400,8.0,0.4801349206349206,3.0868686868686868,40.333333333333336,5.734883511361751,81.66666666666667,2.6246692913372702,11.0
Watts-Strogatz (200 nodes),200,1000,10.0,0.5045765623265623,3.297035175879397,92.66666666666667,8.178562764256865,158.0,7.788880963698615,12.0
Barabasi-Albert,100,384,7.68,0.18716735932586098,2.3307070707070707,56.0,3.265986323710904,79.66666666666667,3.0912061651652345,10.0
Erdos-Renyi,100,371,7.42,0.06543301143301143,2.4943434343434343,52.0,0.816496580927726,78.33333333333333,2.8674417556808756,10.666666666666666
